date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:56	269171/269171	---M--	200	added ('OK')	image/jpeg	etag:%22822dcfcb71876453d886ceb96b595ba1%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-008.jpg?cache=&w=900&h=731&tok=9cf9b6	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-0087d17.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-008.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:56	229739/229739	---M--	200	added ('OK')	image/jpeg	etag:%226777657a6d7f6b3263dee050c50af285%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-001.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-001fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-001.jpg?id=en%3Acreating_printer_templates)
22:49:56	281853/281853	---M--	200	added ('OK')	image/jpeg	etag:%22b0154773a72bb28bc3bfff3d6b94298d%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-001.jpg?cache=&w=900&h=592&tok=0f3262	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-0012242.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-001.jpg?id=en%3Acreating_printer_templates)
22:49:56	267676/267676	---M--	200	added ('OK')	image/jpeg	etag:%2298a0aa2cf863cfa6853d52e7e4ae8121%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-003.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-003fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-003.jpg?id=en%3Acreating_printer_templates)
22:49:57	315250/315250	---M--	200	added ('OK')	image/jpeg	etag:%225f101c03c68db0ca603cc4c43344ec0e%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-003.jpg?cache=&w=900&h=592&tok=296852	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-003fd34.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-003.jpg?id=en%3Acreating_printer_templates)
22:49:58	323145/323145	---M--	200	added ('OK')	image/jpeg	etag:%2284c44455450ef0d203e8d3abfb0c3b7c%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-004.jpg?cache=&w=900&h=592&tok=1d0335	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-00466ee.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-004.jpg?id=en%3Acreating_printer_templates)
22:49:58	293845/293845	---M--	200	added ('OK')	image/jpeg	etag:%22a9c726950aa29fdffa04e17355a7543b%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-005.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-005fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-005.jpg?id=en%3Acreating_printer_templates)
22:49:58	274050/274050	---M--	200	added ('OK')	image/jpeg	etag:%227b50f508790b2d910b295e4983d5689b%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-004.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-004fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-004.jpg?id=en%3Acreating_printer_templates)
22:49:58	336602/336602	---M--	200	added ('OK')	image/jpeg	etag:%2243c88d52a9e5234d606f8806687eb835%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-005.jpg?cache=&w=900&h=592&tok=35870e	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-005340c.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-005.jpg?id=en%3Acreating_printer_templates)
22:49:59	305164/305164	---M--	200	added ('OK')	image/jpeg	etag:%22127be93246e29e6f61a832ea14e31620%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-006.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cpt/creating_printer_templates-006fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cpt/creating_printer_templates-006.jpg?id=en%3Acreating_printer_templates)
22:49:59	115924/115924	---M--	200	added ('OK')	image/jpeg	etag:%2271e20408497b2278d9d5b3c3ccfbc72f%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cdps/custom_package_delivery_system-001.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cdps/custom_package_delivery_system-001fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cdps/custom_package_delivery_system-001.jpg?id=en%3Acustom_package_delivery_system)
22:49:59	100077/100077	---M--	200	added ('OK')	image/jpeg	etag:%2292f011767c468ebb4d305a08cb2531d5%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cdps/custom_package_delivery_system-002.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cdps/custom_package_delivery_system-002fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cdps/custom_package_delivery_system-002.jpg?id=en%3Acustom_package_delivery_system)
